date,action,price,shares,leverage,vix,equity,entry,exit,pnl,shares_before,shares_after,qty_diff,notional_diff
2023-04-05,REBALANCE,124.87782287597656,,,,,,,,2258.0,2298.0,40.0,5082.779706955247
2023-04-06,REBALANCE,124.50292205810548,,,,,,,,2298.0,2305.0,7.0,949.1888713838998
2023-04-10,REBALANCE,126.38724517822266,,,,,,,,2305.0,2271.0,-34.0,4265.696374892897
2023-04-11,REBALANCE,125.71639251708984,,,,,,,,2271.0,2283.0,12.0,1554.97635459929
2023-04-12,REBALANCE,123.48184967041016,,,,,,,,2283.0,2324.0,41.0,5147.8409633639385
2023-04-13,REBALANCE,124.478271484375,,,,,,,,2324.0,2306.0,-18.0,2230.599168777175
2023-04-14,REBALANCE,124.34507751464844,,,,,,,,2306.0,2308.0,2.0,317.15501213102834
2023-04-17,REBALANCE,124.25628662109376,,,,,,,,2308.0,2310.0,2.0,273.394239425892
2023-04-18,REBALANCE,124.81369018554688,,,,,,,,2310.0,2299.0,-11.0,1262.720567702956
2023-04-19,REBALANCE,123.6298370361328,,,,,,,,2299.0,2321.0,22.0,2831.9084148410475
2023-04-20,REBALANCE,123.7679443359375,,,,,,,,2321.0,2319.0,-2.0,208.49504280061228
2023-04-21,REBALANCE,122.5002212524414,,,,,,,,2319.0,2343.0,24.0,2978.890676498704
2023-04-24,REBALANCE,121.84416961669922,,,,,,,,2343.0,2355.0,12.0,1576.0143489840557
2023-04-25,REBALANCE,117.9818115234375,,,,,,,,2355.0,2433.0,78.0,9209.737623215013
2023-04-26,REBALANCE,118.80558776855467,,,,,,,,2433.0,2416.0,-17.0,1997.0912799831713
2023-04-27,REBALANCE,119.95491790771484,,,,,,,,2416.0,2393.0,-23.0,2754.1779041287373
2023-04-28,REBALANCE,121.96255493164062,,,,,,,,2393.0,2353.0,-40.0,4799.49019050569
2023-05-01,REBALANCE,122.89485168457033,,,,,,,,2353.0,2335.0,-18.0,2114.6822528836783
2023-05-02,REBALANCE,121.82937622070312,,,,,,,,2335.0,2356.0,21.0,2585.3102855685283
2023-05-03,REBALANCE,120.5715103149414,,,,,,,,2356.0,2380.0,24.0,2990.425458908372
2023-05-04,REBALANCE,120.16703033447266,,,,,,,,2380.0,2388.0,8.0,1059.3715648654033
2023-05-05,REBALANCE,122.70740509033205,,,,,,,,2388.0,2339.0,-49.0,5968.379594802624
2023-05-08,REBALANCE,123.38812255859376,,,,,,,,2339.0,2326.0,-13.0,1547.9149036405142
2023-05-09,REBALANCE,121.48407745361328,,,,,,,,2326.0,2362.0,36.0,4484.939603805833
2023-05-10,REBALANCE,122.47062683105467,,,,,,,,2362.0,2343.0,-19.0,2218.7168140407884
2023-05-11,REBALANCE,121.38542938232422,,,,,,,,2343.0,2364.0,21.0,2650.8427181246807
2023-05-12,REBALANCE,121.247314453125,,,,,,,,2364.0,2367.0,3.0,428.2523937228252
2023-05-15,REBALANCE,124.42400360107422,,,,,,,,2367.0,2307.0,-60.0,7454.712762832351
2023-05-16,REBALANCE,124.3944091796875,,,,,,,,2307.0,2307.0,0.0,79.00178337126272
2023-05-17,REBALANCE,127.758544921875,,,,,,,,2307.0,2246.0,-61.0,7682.0593738553
2023-05-18,REBALANCE,132.23748779296875,,,,,,,,2246.0,2170.0,-76.0,9948.493822097487
2023-05-19,REBALANCE,131.50746154785156,,,,,,,,2170.0,2182.0,12.0,1685.7122020724346
2023-05-22,REBALANCE,131.39894104003906,,,,,,,,2182.0,2184.0,2.0,344.41441154509084
2023-05-23,REBALANCE,129.50474548339844,,,,,,,,2184.0,2216.0,32.0,4218.539625168138
2023-05-24,REBALANCE,127.6007080078125,,,,,,,,2216.0,2249.0,33.0,4293.734815597825
2023-05-25,REBALANCE,138.5711669921875,,,,,,,,2249.0,2071.0,-178.0,24589.650804519362
2023-05-26,REBALANCE,145.3783721923828,,,,,,,,2071.0,1974.0,-97.0,14021.70504951448
2023-05-30,REBALANCE,146.07884216308594,,,,,,,,1974.0,1965.0,-9.0,1302.7306690213154
2023-05-31,REBALANCE,142.3891143798828,,,,,,,,1965.0,2016.0,51.0,7262.294004440599
2023-06-01,REBALANCE,144.52993774414062,,,,,,,,2016.0,1986.0,-30.0,4315.450731277175
2023-06-02,REBALANCE,144.17478942871094,,,,,,,,1986.0,1991.0,5.0,725.7719554904033
2023-06-05,REBALANCE,142.369384765625,,,,,,,,1991.0,2016.0,25.0,3599.45869255095
2023-06-06,REBALANCE,143.3756866455078,,,,,,,,2016.0,2168.0,152.0,21932.928130309097
2023-06-07,REBALANCE,142.55685424804688,,,,,,,,2168.0,2181.0,13.0,1915.0523978872225
2023-06-08,REBALANCE,144.20437622070312,,,,,,,,2181.0,2156.0,-25.0,3531.432129700668
2023-06-09,REBALANCE,144.86537170410156,,,,,,,,2156.0,2146.0,-10.0,1351.4289863901213
2023-06-12,REBALANCE,149.14700317382812,,,,,,,,2146.0,1924.0,-222.0,33012.56505012483
2023-06-13,REBALANCE,151.2089080810547,,,,,,,,1924.0,1898.0,-26.0,3869.0353870388935
2023-06-14,REBALANCE,153.50758361816406,,,,,,,,1898.0,2025.0,127.0,19620.918700377457
2023-06-15,REBALANCE,152.4026336669922,,,,,,,,2025.0,1883.0,-142.0,21558.429414748854
2023-06-16,REBALANCE,151.31744384765625,,,,,,,,1883.0,2055.0,172.0,26047.56564251613
2023-06-20,REBALANCE,150.78468322753906,,,,,,,,2055.0,2062.0,7.0,1115.788375060074
2023-06-21,REBALANCE,147.33175659179688,,,,,,,,2062.0,2110.0,48.0,7180.230315367691
2023-06-22,REBALANCE,148.06179809570312,,,,,,,,2110.0,2261.0,151.0,22489.327072461776
2023-06-23,REBALANCE,145.5460968017578,,,,,,,,2261.0,2136.0,-125.0,18101.412461121567
2023-06-26,REBALANCE,144.875244140625,,,,,,,,2136.0,1981.0,-155.0,22396.617723464675
2023-06-27,REBALANCE,149.4725799560547,,,,,,,,1981.0,2080.0,99.0,14873.131514708512
2023-06-28,REBALANCE,148.12098693847656,,,,,,,,2080.0,2099.0,19.0,2886.6595756215975
2023-06-29,REBALANCE,147.90394592285156,,,,,,,,2099.0,2102.0,3.0,527.9299155874178
2023-06-30,REBALANCE,150.20262145996094,,,,,,,,2102.0,2070.0,-32.0,4747.597901185043
2023-07-03,REBALANCE,151.5344696044922,,,,,,,,2070.0,2052.0,-18.0,2698.0396736459807
2023-07-05,REBALANCE,148.6734619140625,,,,,,,,2052.0,1930.0,-122.0,18021.040086745925
2023-07-06,REBALANCE,146.90753173828125,,,,,,,,1930.0,1953.0,23.0,3525.3675060275127
2023-07-07,REBALANCE,147.04566955566406,,,,,,,,1953.0,1952.0,-1.0,123.28888130158884
2023-07-10,REBALANCE,149.12728881835938,,,,,,,,1952.0,1924.0,-28.0,4039.564012527175
2023-07-11,REBALANCE,149.28512573242188,,,,,,,,1924.0,1922.0,-2.0,167.67814826936228
2023-07-12,REBALANCE,152.42236328125,,,,,,,,1922.0,2040.0,118.0,18022.530181090347
2023-07-13,REBALANCE,156.08248901367188,,,,,,,,2040.0,1992.0,-48.0,7429.9651802377775
2023-07-14,REBALANCE,154.7900848388672,,,,,,,,1992.0,2009.0,17.0,2636.46340862941
2023-07-17,REBALANCE,157.6708221435547,,,,,,,,2009.0,1972.0,-37.0,5782.36927874852
2023-07-18,REBALANCE,158.10488891601562,,,,,,,,1972.0,1966.0,-6.0,804.528534729965
2023-07-19,REBALANCE,156.44749450683594,,,,,,,,1966.0,1987.0,21.0,3402.5382072133943
2023-07-20,REBALANCE,150.91293334960938,,,,,,,,1987.0,2060.0,73.0,11114.31384197902
2023-07-21,REBALANCE,151.72189331054688,,,,,,,,2060.0,2049.0,-11.0,1568.787812073715
2023-07-24,REBALANCE,151.85015869140625,,,,,,,,2049.0,2047.0,-2.0,162.66275103855878
2023-07-25,REBALANCE,154.2869415283203,,,,,,,,2047.0,2015.0,-32.0,4847.056900818832
2023-07-26,REBALANCE,152.5999298095703,,,,,,,,2015.0,2037.0,22.0,3489.453841368668
2023-07-27,REBALANCE,155.3425750732422,,,,,,,,2037.0,1847.0,-190.0,29375.92166328401
2023-07-28,REBALANCE,158.34169006347656,,,,,,,,1847.0,1963.0,116.0,18521.210860411637
2023-07-31,REBALANCE,158.46006774902344,,,,,,,,1963.0,1962.0,-1.0,78.80058368016034
2023-08-01,REBALANCE,158.37127685546875,,,,,,,,1962.0,1963.0,1.0,253.86721722315997
2023-08-02,REBALANCE,152.5604705810547,,,,,,,,1963.0,1881.0,-82.0,12419.299989700026
2023-08-03,REBALANCE,152.11654663085938,,,,,,,,1881.0,1887.0,6.0,925.6795482638408
2023-08-04,REBALANCE,152.1757354736328,,,,,,,,1887.0,1886.0,-1.0,98.70907783479197
2023-08-07,REBALANCE,153.8134002685547,,,,,,,,1886.0,1866.0,-20.0,3035.1691455838154
2023-08-08,REBALANCE,151.2779541015625,,,,,,,,1866.0,1897.0,31.0,4772.2414073947
2023-08-09,REBALANCE,148.2788543701172,,,,,,,,1897.0,1935.0,38.0,5771.9170207980205
2023-08-10,REBALANCE,147.95327758789062,,,,,,,,1935.0,1940.0,5.0,767.3116283419658
2023-08-11,REBALANCE,144.2438507080078,,,,,,,,1940.0,1990.0,50.0,7223.833387375169
2023-08-14,REBALANCE,148.6339874267578,,,,,,,,1990.0,1931.0,-59.0,8724.731218337722
2023-08-15,REBALANCE,146.8483428955078,,,,,,,,1931.0,1954.0,23.0,3492.7536296847393
2023-08-16,REBALANCE,144.52993774414062,,,,,,,,1954.0,1986.0,32.0,4645.405408859544
2023-08-17,REBALANCE,143.55323791503906,,,,,,,,1986.0,1999.0,13.0,1960.173261642747
2023-08-18,REBALANCE,144.16493225097656,,,,,,,,1999.0,1991.0,-8.0,1128.7958087918232
2023-08-21,REBALANCE,149.00889587402344,,,,,,,,1991.0,1926.0,-65.0,9619.807924270339
2023-08-22,REBALANCE,147.51919555664062,,,,,,,,1926.0,1945.0,19.0,2934.9331188204815
2023-08-23,REBALANCE,150.71563720703125,,,,,,,,1945.0,1904.0,-41.0,6085.010606765456
2023-08-24,REBALANCE,146.8187713623047,,,,,,,,1904.0,1955.0,51.0,7513.9630870822
2023-08-25,REBALANCE,147.08511352539062,,,,,,,,1955.0,1951.0,-4.0,494.49318122834666
2023-08-28,REBALANCE,148.90037536621094,,,,,,,,1951.0,1927.0,-24.0,3447.728578567214
2023-08-29,REBALANCE,152.7183380126953,,,,,,,,1927.0,1879.0,-48.0,7231.333589553542
2023-08-30,REBALANCE,153.49771118164062,,,,,,,,1879.0,2025.0,146.0,22556.113097350113
2023-08-31,REBALANCE,154.11923217773438,,,,,,,,2025.0,2017.0,-8.0,1113.132752259262
2023-09-01,REBALANCE,154.109375,,,,,,,,2017.0,2017.0,0.0,139.70303265284747
2023-09-05,REBALANCE,154.47439575195312,,,,,,,,2017.0,1858.0,-159.0,24517.952470779128
2023-09-06,REBALANCE,152.67884826660156,,,,,,,,1858.0,1880.0,22.0,3379.603681564622
2023-09-07,REBALANCE,149.29498291015625,,,,,,,,1880.0,1922.0,42.0,6382.335889816575
2023-09-08,REBALANCE,148.35777282714844,,,,,,,,1922.0,2096.0,174.0,25834.67303387355
2023-09-11,REBALANCE,148.46629333496094,,,,,,,,2096.0,2094.0,-2.0,207.03842242527753
2023-09-12,REBALANCE,147.3514862060547,,,,,,,,2094.0,1948.0,-146.0,21497.10835456819
2023-09-13,REBALANCE,148.54522705078125,,,,,,,,1948.0,2093.0,145.0,21612.210112730972
2023-09-14,REBALANCE,149.35418701171875,,,,,,,,2093.0,2242.0,149.0,22301.407638868026
2023-09-15,REBALANCE,144.8357696533203,,,,,,,,2242.0,2147.0,-95.0,13743.483155091293
2023-09-18,REBALANCE,145.31919860839844,,,,,,,,2147.0,1975.0,-172.0,24943.41565132112
2023-09-19,REBALANCE,144.06626892089844,,,,,,,,1975.0,1992.0,17.0,2526.022642135911
2023-09-20,REBALANCE,141.69854736328125,,,,,,,,1992.0,2025.0,33.0,4793.397413254075
2023-09-21,REBALANCE,138.86712646484375,,,,,,,,2025.0,2067.0,42.0,5850.9726696017315
2023-09-22,REBALANCE,140.05099487304688,,,,,,,,2067.0,2049.0,-18.0,2428.5026416775654
2023-09-25,REBALANCE,141.0375518798828,,,,,,,,2049.0,2035.0,-14.0,1929.0400409695576
2023-09-26,REBALANCE,138.8079376220703,,,,,,,,2035.0,2068.0,33.0,4582.750699997239
2023-09-27,REBALANCE,140.08059692382812,,,,,,,,2068.0,2049.0,-19.0,2629.7706775662373
2023-09-28,REBALANCE,142.3496551513672,,,,,,,,2049.0,2016.0,-33.0,4617.539644241042
2023-09-29,REBALANCE,143.03038024902344,,,,,,,,2016.0,2006.0,-10.0,1292.3428211209248
2023-10-02,REBALANCE,144.26356506347656,,,,,,,,2006.0,1989.0,-17.0,2335.807756423659
2023-10-03,REBALANCE,141.05728149414062,,,,,,,,1989.0,2035.0,46.0,6493.970869064622
2023-10-04,REBALANCE,143.25729370117188,,,,,,,,2035.0,2003.0,-32.0,4471.68892097444
2023-10-05,REBALANCE,143.25729370117188,,,,,,,,2003.0,2003.0,0.0,112.5444774630596
2023-10-06,REBALANCE,146.35507202148438,,,,,,,,2003.0,1961.0,-42.0,6092.305498122878
2023-10-09,REBALANCE,145.98016357421875,,,,,,,,1961.0,1966.0,5.0,789.8029918673565
2023-10-10,REBALANCE,147.7855682373047,,,,,,,,1966.0,1942.0,-24.0,3489.5233936306904
2023-10-11,REBALANCE,149.3837890625,,,,,,,,1942.0,1921.0,-21.0,3046.414598464675
2023-10-12,REBALANCE,150.14341735839844,,,,,,,,1921.0,1911.0,-10.0,1368.6009845730732
2023-10-13,REBALANCE,146.38467407226562,,,,,,,,1911.0,1960.0,49.0,7315.791608810716
2023-10-16,REBALANCE,148.0716552734375,,,,,,,,1960.0,1938.0,-22.0,3163.540575027175
2023-10-17,REBALANCE,146.32546997070312,,,,,,,,1938.0,1961.0,23.0,3478.142957687669
2023-10-18,REBALANCE,143.39541625976562,,,,,,,,1961.0,2001.0,40.0,5858.492475509935
2023-10-19,REBALANCE,142.41871643066406,,,,,,,,2001.0,2015.0,14.0,2077.052183151536
2023-10-20,REBALANCE,140.18911743164062,,,,,,,,2015.0,2047.0,32.0,4575.832136154466
2023-10-23,REBALANCE,140.68238830566406,,,,,,,,2047.0,2040.0,-7.0,919.9451007840107
2023-10-24,REBALANCE,142.32994079589844,,,,,,,,2040.0,2016.0,-24.0,3296.1754627224873
2023-10-25,REBALANCE,136.81509399414062,,,,,,,,2016.0,2098.0,82.0,11237.674268722825
2023-10-26,REBALANCE,135.61151123046875,,,,,,,,2098.0,2116.0,18.0,2543.9531993868877
2023-10-27,REBALANCE,136.4500732421875,,,,,,,,2116.0,2103.0,-13.0,1671.4512195584248
2023-10-30,REBALANCE,136.10479736328125,,,,,,,,2103.0,2109.0,6.0,828.5149059298565
2023-10-31,REBALANCE,137.0814666748047,,,,,,,,2109.0,2094.0,-15.0,2047.9094562527607
2023-11-01,REBALANCE,140.49496459960938,,,,,,,,2094.0,2043.0,-51.0,7139.552110671706
2023-11-02,REBALANCE,144.13531494140625,,,,,,,,2043.0,1991.0,-52.0,7411.5446643826435
2023-11-03,REBALANCE,147.49945068359375,,,,,,,,1991.0,1946.0,-45.0,6614.502550124831
2023-11-06,REBALANCE,147.9335479736328,,,,,,,,1946.0,1940.0,-6.0,821.7805957791279
2023-11-07,REBALANCE,148.86090087890625,,,,,,,,1940.0,1928.0,-12.0,1733.2439441677998
2023-11-08,REBALANCE,149.39364624023438,,,,,,,,1928.0,1921.0,-7.0,974.0461902615498
2023-11-09,REBALANCE,149.12728881835938,,,,,,,,1921.0,1924.0,3.0,583.3819408419658
2023-11-10,REBALANCE,155.16497802734375,,,,,,,,1924.0,1850.0,-74.0,11480.51396369905
2023-11-13,REBALANCE,154.2178955078125,,,,,,,,1850.0,1861.0,11.0,1753.7970714572002
2023-11-14,REBALANCE,158.9237518310547,,,,,,,,1861.0,1806.0,-55.0,8700.198396682448
2023-11-15,REBALANCE,159.04214477539062,,,,,,,,1806.0,1804.0,-2.0,173.20970344514353
2023-11-16,REBALANCE,159.63406372070312,,,,,,,,1804.0,1798.0,-6.0,922.9471912381123
2023-11-17,REBALANCE,160.3838348388672,,,,,,,,1798.0,1938.0,140.0,22608.177367369644
2023-11-20,REBALANCE,162.68251037597656,,,,,,,,1938.0,1911.0,-27.0,4300.392700989731
2023-11-21,REBALANCE,160.28518676757812,,,,,,,,1911.0,1940.0,29.0,4673.320494811051
2023-11-22,REBALANCE,159.93988037109375,,,,,,,,1940.0,2093.0,153.0,24616.353134473495
2023-11-24,REBALANCE,159.58473205566406,,,,,,,,2093.0,2098.0,5.0,888.8768618904869
2023-11-27,REBALANCE,159.48606872558594,,,,,,,,2098.0,2099.0,1.0,297.94886811607284
2023-11-28,REBALANCE,158.56858825683594,,,,,,,,2099.0,2112.0,13.0,2064.254303296737
2023-11-29,REBALANCE,160.0286865234375,,,,,,,,2112.0,2092.0,-20.0,3080.8648831046303
2023-11-30,REBALANCE,158.32192993164062,,,,,,,,2092.0,2115.0,23.0,3690.243637403182
2023-12-01,REBALANCE,158.9632110595703,,,,,,,,2115.0,2106.0,-9.0,1307.4703365958412
2023-12-04,REBALANCE,156.6448211669922,,,,,,,,2106.0,1985.0,-121.0,18915.6809700327
2023-12-05,REBALANCE,156.6448211669922,,,,,,,,1985.0,2137.0,152.0,23959.751037915878
2023-12-06,REBALANCE,155.38201904296875,,,,,,,,2137.0,2155.0,18.0,2848.346359571151
2023-12-07,REBALANCE,158.93362426757812,,,,,,,,2155.0,1956.0,-199.0,31523.647888978012
2023-12-08,REBALANCE,160.2950439453125,,,,,,,,1956.0,2089.0,133.0,21362.61509736412
2023-12-11,REBALANCE,164.1426239013672,,,,,,,,2089.0,2040.0,-49.0,7994.220275560685
2023-12-12,REBALANCE,165.87893676757812,,,,,,,,2040.0,2018.0,-22.0,3493.3099514640053
2023-12-13,REBALANCE,167.83230590820312,,,,,,,,2018.0,1995.0,-23.0,3785.8722683585365
2023-12-14,REBALANCE,170.93008422851562,,,,,,,,1995.0,1959.0,-36.0,6105.796981493302
2023-12-15,REBALANCE,171.7390594482422,,,,,,,,1959.0,1950.0,-9.0,1537.0964047110756
2023-12-18,REBALANCE,172.039794921875,,,,,,,,1950.0,1946.0,-4.0,577.8790432608803
2023-12-19,REBALANCE,172.61544799804688,,,,,,,,1946.0,1940.0,-6.0,1009.940749803849
2023-12-20,REBALANCE,167.81175231933594,,,,,,,,1940.0,1853.0,-87.0,14576.487091858871
2023-12-21,REBALANCE,171.96038818359375,,,,,,,,1853.0,1808.0,-45.0,7664.286896546371
2023-12-26,REBALANCE,174.35231018066406,,,,,,,,1808.0,1920.0,112.0,19670.744247754745
2023-12-27,REBALANCE,174.5408935546875,,,,,,,,1920.0,1918.0,-2.0,218.79457060463028
2023-12-28,REBALANCE,174.50120544433594,,,,,,,,1918.0,1919.0,1.0,206.4090121590416
2023-12-29,REBALANCE,173.55831909179688,,,,,,,,1919.0,1929.0,10.0,1841.3067172371666
2024-01-02,REBALANCE,167.70257568359375,,,,,,,,1929.0,1854.0,-75.0,12519.956085999496
2024-01-03,REBALANCE,164.72506713867188,,,,,,,,1854.0,1742.0,-112.0,18343.37071418733
2024-01-04,REBALANCE,163.75242614746094,,,,,,,,1742.0,1752.0,10.0,1800.177412033372
2024-01-05,REBALANCE,164.83425903320312,,,,,,,,1752.0,1886.0,134.0,22188.690581480972
2024-01-08,REBALANCE,170.67015075683594,,,,,,,,1886.0,1822.0,-64.0,10905.59191973973
2024-01-09,REBALANCE,171.12669372558594,,,,,,,,1822.0,1957.0,135.0,23106.88508637779
2024-01-10,REBALANCE,171.28549194335938,,,,,,,,1957.0,1955.0,-2.0,305.98667875892716
2024-01-11,REBALANCE,172.2581329345703,,,,,,,,1955.0,1944.0,-11.0,1864.9288326895912
2024-01-12,REBALANCE,171.6527099609375,,,,,,,,1944.0,1951.0,7.0,1206.8528903328697
2024-01-16,REBALANCE,174.382080078125,,,,,,,,1951.0,1783.0,-168.0,29241.125824769028
2024-01-17,REBALANCE,173.33004760742188,,,,,,,,1783.0,1656.0,-127.0,21990.571123122878
2024-01-18,REBALANCE,178.95750427246094,,,,,,,,1656.0,1604.0,-52.0,9296.723314284987
2024-01-19,REBALANCE,185.7759704589844,,,,,,,,1604.0,1673.0,69.0,12993.655791441852
