date,equity
2023-07-19,177382.18635385085
2023-07-20,173300.6463602901
2023-07-21,176319.68493450884
2023-07-24,176798.37133587603
2023-07-25,185892.4448832393
2023-07-26,174952.2664333491
2023-07-27,185171.36268579052
2023-07-28,196346.0651394038
2023-07-31,196787.14039575146
2023-08-01,196456.3055263667
2023-08-02,185569.1183595271
2023-08-03,183949.23986526442
2023-08-04,184165.2199525447
2023-08-07,190141.0587892146
2023-08-08,179477.0219351955
2023-08-09,169247.45540089373
2023-08-10,168132.68049854998
2023-08-11,159601.02625099136
2023-08-14,174171.8900205226
2023-08-15,168245.33582130386
2023-08-16,164798.8821394038
2023-08-17,161458.56872387647
2023-08-18,155407.32678478953
2023-08-21,171067.86117810008
2023-08-22,166251.66005200145
2023-08-23,176585.75590771434
2023-08-24,167327.74646099805
2023-08-25,168238.37031658887
2023-08-28,174444.75055035352
2023-08-29,187498.3648386836
2023-08-30,190163.04170330762
2023-08-31,192288.02198895215
2023-09-01,192254.32029827833
2023-09-05,193502.32624920606
2023-09-06,183467.51502676343
2023-09-07,173012.67821285964
2023-09-08,169754.93596432448
2023-09-11,170132.15324948073
2023-09-12,166257.0836694026
2023-09-13,170406.52684567214
2023-09-14,173218.4716698909
2023-09-15,163354.52374288894
2023-09-18,165126.29086325027
2023-09-19,160534.30355856277
2023-09-20,155006.9884681544
2023-09-21,146173.64272407477
2023-09-22,149911.11528877204
2023-09-25,153025.6757593531
2023-09-26,144565.8202849421
2023-09-27,148541.6079436335
2023-09-28,155630.14584646554
2023-09-29,157756.73105154367
2023-10-02,161609.20041189523
2023-10-03,153046.2922439875
2023-10-04,160205.13196566718
2023-10-05,160205.13196566718
2023-10-06,170285.30261996406
2023-10-09,169065.35053256172
2023-10-10,174940.13730624336
2023-10-11,180140.7478714289
2023-10-12,182612.57834628242
2023-10-13,173329.8114246821
2023-10-16,179321.9686512446
2023-10-17,169328.9087801508
2023-10-18,159678.89036105294
2023-10-19,156416.71293185372
2023-10-20,150579.01724520823
2023-10-23,152168.33600131175
2023-10-24,157476.7501248469
2023-10-25,148763.5958092036
2023-10-26,144838.71241686962
2023-10-27,147573.26313708446
2023-10-30,146447.31849597118
2023-10-31,149632.2371208491
2023-11-01,160763.6538536372
2023-11-02,172634.8363182368
2023-11-03,183605.28297351024
2023-11-06,185020.87423632763
2023-11-07,188044.9720604243
2023-11-08,189782.25468371532
2023-11-09,188913.66313098095
2023-11-10,208602.567641479
2023-11-13,205514.1315452876
2023-11-14,220859.92901538036
2023-11-15,221246.00840685985
2023-11-16,223176.2560875239
2023-11-17,225621.25970385692
2023-11-20,233117.2406303706
2023-11-21,223037.59496998548
2023-11-22,221476.11944508314
2023-11-24,219870.1387627101
2023-11-27,219423.9831840968
2023-11-28,215275.1365044093
2023-11-29,221877.70086598158
2023-11-30,209266.21229328864
2023-12-01,212232.77879109138
2023-12-04,198260.86631822147
2023-12-05,198260.86631822147
2023-12-06,193066.96118211307
2023-12-07,207674.71347093143
2023-12-08,213274.2326054529
2023-12-11,229099.32896470584
2023-12-12,236240.78378343143
2023-12-13,244274.99105882205
2023-12-14,257016.15329026736
2023-12-15,260343.46836900272
2023-12-18,261580.39337205447
2023-12-19,263948.05447434937
2023-12-20,250458.67505964596
2023-12-21,270579.55900129635
2023-12-22,270675.83967146237
2023-12-26,282180.38068708737
2023-12-27,283095.01005110104
2023-12-28,282902.52271589596
2023-12-29,278329.5239060815
2024-01-02,267011.06671003654
2024-01-03,250524.89730488523
2024-01-04,246087.70910298094
2024-01-05,251023.0307277368
2024-01-08,277646.36877094966
2024-01-09,279729.11779438716
2024-01-10,280453.5552638696
2024-01-11,284890.7434657739
2024-01-12,282128.803860061
2024-01-16,294580.19033467036
2024-01-17,279465.10039765865
2024-01-18,306679.48082978756
2024-01-19,339653.583307815
2024-01-22,343829.3707223657
2024-01-23,348437.05980927974
2024-01-24,364564.1929879907
2024-01-25,364564.1929879907
2024-01-26,347021.052134414
2024-01-29,360258.2522229152
2024-01-30,348937.6545361476
2024-01-31,338580.6936510615
2024-02-01,347870.72441278026
2024-02-02,367816.86808953807
2024-02-05,388200.22526727227
2024-02-06,367958.7028713371
2024-02-07,392092.6219692377
2024-02-08,409464.0990810541
2024-02-09,436886.43181420857
2024-02-12,431985.0968837885
2024-02-13,412856.974503509
2024-02-14,437713.15214633127
2024-02-15,433487.62678622385
2024-02-16,428081.28538607736
2024-02-20,413710.191571548
2024-02-21,390131.45302738907
2024-02-22,470047.46865238907
2024-02-23,462246.44326176425
2024-02-26,472548.5978027797
2024-02-27,468916.059960983
2024-02-28,455040.96840824845
2024-02-29,482076.5824219203
2024-03-01,533229.9332519984
2024-03-04,554370.1920410609
2024-03-05,529015.5525146937
2024-03-06,569936.0593811488
2024-03-07,626174.7093140101
2024-03-08,594177.4112999721
2024-03-11,560311.8184348294
2024-03-12,613481.2862082669
2024-03-13,580534.2086262356
2024-03-14,544686.6181036069
2024-03-15,532624.5339971615
2024-03-18,535900.5920110776
2024-03-19,513639.8664074093
2024-03-20,540387.3775158075
2024-03-21,578861.1679210812
2024-03-22,589054.3823070675
2024-03-25,584762.48396112
2024-03-26,568591.2472667843
2024-03-27,555906.018488464
2024-03-28,556771.387171325
2024-04-01,582293.5118051143
2024-04-02,544824.5807874294
2024-04-03,551361.3807141872
2024-04-04,520186.0134233851
2024-04-05,539701.009761276
2024-04-08,542681.412898483
2024-04-09,550061.7237200162
2024-04-10,536223.6545671843
2024-04-11,572841.0022844695
2024-04-12,542192.5677606963
2024-04-15,517723.2314875029
2024-04-16,511289.49833033734
2024-04-17,482149.08419436635
2024-04-18,454668.5214379272
2024-04-19,428753.7037292784
2024-04-22,453351.7275635071
2024-04-23,484212.4615875548
2024-04-24,485761.8855682675
2024-04-25,512619.72591555753
2024-04-26,547741.4255157774
2024-04-29,552519.1304413148
2024-04-30,525730.9080659027
2024-05-01,495766.8209003753
2024-05-02,525674.4468464202
2024-05-03,566457.5031360933
