date,equity
2023-07-19,193064.29008573917
2023-07-20,180351.40310758975
2023-07-21,182209.5841378632
2023-07-24,182504.20971769717
2023-07-25,188101.49989408877
2023-07-26,184226.43397612002
2023-07-27,190526.29014677432
2023-07-28,197415.25727934268
2023-07-31,197687.17082304385
2023-08-01,197483.21814054874
2023-08-02,184135.79612821963
2023-08-03,183116.102814621
2023-08-04,183252.0595864716
2023-08-07,187013.77562040713
2023-08-08,181189.85577482608
2023-08-09,174300.9236916962
2023-08-10,173553.07382292178
2023-08-11,165032.52027983096
2023-08-14,175116.6643227997
2023-08-15,171015.03883451846
2023-08-16,165689.66220182803
2023-08-17,163446.18269438174
2023-08-18,164851.24458403018
2023-08-21,175977.82902616885
2023-08-22,172555.98739714053
2023-08-23,179898.2138680878
2023-08-24,170947.11302275088
2023-08-25,171558.90097135928
2023-08-28,175728.55741972354
2023-08-29,184498.41761869815
2023-08-30,186288.63778776553
2023-08-31,187716.27151579288
2023-09-01,187693.62957853702
2023-09-05,188532.08224577334
2023-09-06,184407.7096719208
2023-09-07,176634.97094816592
2023-09-08,174482.19938749698
2023-09-11,174731.4709939423
2023-09-12,172170.75901884463
2023-09-13,174912.78173918155
2023-09-14,176770.96276945499
2023-09-15,166392.15809721377
2023-09-18,167502.59440702823
2023-09-19,164624.61491484073
2023-09-20,159185.95849699405
2023-09-21,152682.1846932831
2023-09-22,155401.5304269257
2023-09-25,157667.65187162784
2023-09-26,152546.22792143252
2023-09-27,155469.52633757022
2023-09-28,160681.55308622745
2023-09-29,162245.17863554385
2023-10-02,165077.80415434268
2023-10-03,157712.97079557803
2023-10-04,162766.3988351288
2023-10-05,162766.3988351288
2023-10-06,169881.99563688663
2023-10-09,169020.83093351749
2023-10-10,173167.84544462588
2023-10-11,176838.95868009952
2023-10-12,178583.82487577823
2023-10-13,169949.99154753116
2023-10-16,173824.98736662295
2023-10-17,169813.9997262421
2023-10-18,163083.66635221866
2023-10-19,160840.18684477237
2023-10-20,155718.79794401553
2023-10-23,156851.84114164737
2023-10-24,160636.26921171573
2023-10-25,147968.66610807803
2023-10-26,145204.03649992374
2023-10-27,147130.2134408417
2023-10-30,146337.11474699405
2023-10-31,148580.52415556338
2023-11-01,156421.32888883975
2023-11-02,164783.21362394717
2023-11-03,172510.63342375186
2023-11-06,173507.7548989716
2023-11-07,175637.88452238467
2023-11-08,176861.60061735538
2023-11-09,176249.7776193085
2023-11-10,190118.3497323456
2023-11-13,187942.90118498233
2023-11-14,198752.25315946963
2023-11-15,199024.20175260928
2023-11-16,200383.8395699921
2023-11-17,202106.06382841495
2023-11-20,207386.12153715518
2023-11-21,201879.46920866397
2023-11-22,201086.30041593936
2023-11-24,200270.52473539737
2023-11-27,200043.89506620792
2023-11-28,197936.44242948917
2023-11-29,201290.28814787295
2023-11-30,197369.86825651553
2023-12-01,198842.89100737002
2023-12-04,193517.54942411807
2023-12-05,193517.54942411807
2023-12-06,190616.89294523624
2023-12-07,198774.93014616397
2023-12-08,201902.11114591983
2023-12-11,210740.00230497745
2023-12-12,214728.31295866397
2023-12-13,219215.2018746796
2023-12-14,226330.7986764374
2023-12-15,228189.01475614932
2023-12-18,228879.8041390839
2023-12-19,230202.0792550507
2023-12-20,219167.99028105167
2023-12-21,228697.40686125186
2023-12-22,228743.00618070987
2023-12-26,234191.65168852237
2023-12-27,234624.8276986542
2023-12-28,234533.66410917667
2023-12-29,232367.85415739444
2024-01-02,218917.21154875186
2024-01-03,212077.8744210663
2024-01-04,209843.7180642548
2024-01-05,212328.6882028046
2024-01-08,225733.73149198917
2024-01-09,226782.41069120792
2024-01-10,227147.1701974335
2024-01-11,229381.32655424502
2024-01-12,227990.66998381045
2024-01-16,234260.03314299014
2024-01-17,231843.51455778506
2024-01-18,244769.7825173798
2024-01-19,260431.79934782418
2024-01-22,262415.2120217743
2024-01-23,264603.76905912784
2024-01-24,272263.8238381806
2024-01-25,272263.8238381806
2024-01-26,262916.80453581235
2024-01-29,267955.05616850284
2024-01-30,263646.2884988251
2024-01-31,257445.3067941132
2024-02-01,261320.93350309756
2024-02-02,269642.0907906952
2024-02-05,278145.64535612485
2024-02-06,273107.35867399594
2024-02-07,281975.6376962128
