date,action,price,leverage,stop,entry,pnl,exit
2023-06-23,ENTER,145.5460968017578,3.25,142.7807209625244,,,
2023-07-05,STOP,,,148.65531468200683,145.5460968017578,10219.999172378528,
2023-07-05,ENTER,148.6734619140625,3.0,145.84866613769532,,,
2023-07-06,STOP,,,145.84866613769532,148.6734619140625,-8971.55138574217,
2023-07-06,ENTER,146.90753173828125,3.0,144.1162886352539,,,
2023-07-20,STOP,,,155.10089602661134,146.90753173828125,24834.087157928494,
2023-07-20,ENTER,150.91293334960938,3.25,148.04558761596678,,,
2023-07-26,STOP,,,151.3554896392822,150.91293334960938,1651.620073059026,
2023-07-26,ENTER,152.5999298095703,3.25,149.70053114318847,,,
2023-08-02,STOP,,,155.449326461792,152.5999298095703,10616.851926177998,
2023-08-02,ENTER,152.5604705810547,3.0,149.66182164001464,,,
2023-08-08,STOP,,,150.89094566345216,152.5604705810547,-6092.096424331632,
2023-08-08,ENTER,151.2779541015625,3.0,148.4036729736328,,,
2023-08-09,STOP,,,148.4036729736328,151.2779541015625,-10229.566534301772,
2023-08-09,ENTER,148.2788543701172,3.0,145.46155613708495,,,
2023-08-11,STOP,,,145.46155613708495,148.2788543701172,-9646.429149902364,
2023-08-11,ENTER,144.2438507080078,3.0,141.50321754455567,,,
2023-08-16,STOP,,,145.8099416656494,144.2438507080078,5197.855888412443,
2023-08-16,ENTER,144.52993774414062,3.0,141.78386892700195,,,
2023-08-18,STOP,,,141.78386892700195,144.52993774414062,-9391.555354614278,
2023-08-18,ENTER,144.16493225097656,3.0,141.425798538208,,,
2023-08-24,STOP,,,147.85204010009767,144.16493225097656,11920.419676208532,
2023-08-24,ENTER,146.8187713623047,3.0,144.0292147064209,,,
2023-09-06,STOP,,,151.53938223266601,146.8187713623047,16139.768565765376,
2023-09-06,ENTER,152.67884826660156,3.0,149.77795014953614,,,
2023-09-07,STOP,,,149.77795014953614,152.67884826660156,-10454.836813903787,
2023-09-07,ENTER,149.29498291015625,3.0,146.4583782348633,,,
2023-09-15,STOP,,,146.5164574584961,149.29498291015625,-9658.15446997071,
2023-09-15,ENTER,144.8357696533203,3.25,142.08389002990722,,,
2023-09-20,STOP,,,142.55813383483886,144.8357696533203,-8347.535274734539,
2023-09-20,ENTER,141.69854736328125,3.0,139.0062749633789,,,
2023-09-21,STOP,,,139.0062749633789,141.69854736328125,-8833.345744079612,
2023-09-21,ENTER,138.86712646484375,3.0,136.22865106201172,,,
2023-09-26,STOP,,,138.35783839416504,138.86712646484375,-1607.8224391326783,
2023-09-26,ENTER,138.8079376220703,3.0,136.17058680725097,,,
2023-10-03,STOP,,,141.5225573272705,138.8079376220703,8480.4719590454,
2023-10-03,ENTER,141.05728149414062,3.0,138.37719314575196,,,
2023-10-13,STOP,,,147.29069242858887,141.05728149414062,20283.519180694588,
2023-10-13,ENTER,146.38467407226562,3.0,143.60336526489257,,,
2023-10-17,STOP,,,145.25829382324218,146.38467407226562,-4000.902644531263,
2023-10-17,ENTER,146.32546997070312,3.0,143.54528604125977,,,
2023-10-18,STOP,,,143.54528604125977,146.32546997070312,-9650.01841909788,
2023-10-18,ENTER,143.39541625976562,3.0,140.6709033508301,,,
2023-10-20,STOP,,,140.6709033508301,143.39541625976562,-9099.873115844695,
2023-10-20,ENTER,140.18911743164062,3.0,137.52552420043946,,,
2023-10-25,STOP,,,139.62567192077637,140.18911743164062,-1815.4214360046312,
2023-10-25,ENTER,136.81509399414062,3.0,134.21560720825195,,,
2023-11-21,STOP,,,159.591542678833,136.81509399414062,74273.99916078187,
2023-11-21,ENTER,160.28518676757812,3.25,157.23976821899413,,,
2023-11-30,STOP,,,157.23976821899413,160.28518676757812,-13771.382676696829,
2023-11-30,ENTER,158.32192993164062,3.5,155.31381326293945,,,
2023-12-04,STOP,,,155.94291004943847,158.32192993164062,-11005.345975067183,
2023-12-04,ENTER,156.6448211669922,3.25,153.66856956481934,,,
2023-12-20,STOP,,,169.33575448608397,156.6448211669922,52197.8087414245,
2023-12-20,ENTER,167.81175231933594,3.25,164.62332902526856,,,
2024-01-02,STOP,,,171.22461657714842,167.81175231933594,16552.39165039056,
2024-01-02,ENTER,167.70257568359375,3.25,164.51622674560548,,,
2024-01-03,STOP,,,164.51622674560548,167.70257568359375,-16486.16940515131,
2024-01-03,ENTER,164.72506713867188,3.0,161.5952908630371,,,
2024-01-17,STOP,,,171.06882055664062,164.72506713867188,28940.2030927734,
2024-01-17,ENTER,173.33004760742188,3.0,170.03677670288084,,,
2024-01-26,STOP,,,187.29943382263184,173.33004760742188,67555.95173675539,
2024-01-26,ENTER,186.8578186035156,3.25,183.3075200500488,,,
2024-01-31,STOP,,,185.45925050354003,186.8578186035156,-8440.358483352522,
2024-01-31,ENTER,184.47579956054688,3.0,180.9707593688965,,,
2024-02-06,STOP,,,189.81143508911128,184.47579956054688,29378.009220275642,
2024-02-06,ENTER,191.29428100585935,3.25,187.65968966674802,,,
2024-02-13,STOP,,,198.47685525512696,191.29428100585935,44898.271632171876,
2024-02-13,ENTER,197.80506896972656,3.0,194.04677265930175,,,
2024-02-20,STOP,,,197.94134385681153,197.80506896972656,853.2170680389703,
2024-02-20,ENTER,196.2964630126953,3.0,192.5668302154541,,,
2024-02-21,STOP,,,192.5668302154541,196.2964630126953,-23578.73854415892,
2024-02-21,ENTER,195.03599548339844,3.0,191.33031156921388,,,
2024-03-05,STOP,,,218.1833453979492,195.03599548339844,138884.09948730463,
2024-03-05,ENTER,219.00485229492188,3.0,214.84376010131837,,,
2024-03-08,STOP,,,227.99765643310548,219.00485229492188,65161.858785278375,
